"","terms","count","probability"
"567","personal",27,0.000324207492795389
"568","political",27,0.000324207492795389
"569","price",27,0.000324207492795389
"570","quick",27,0.000324207492795389
"571","recently",27,0.000324207492795389
"572","serious",27,0.000324207492795389
"573","social",27,0.000324207492795389
"574","spring",27,0.000324207492795389
"575","track",27,0.000324207492795389
"576","tuesday",27,0.000324207492795389
"577","ways",27,0.000324207492795389
"578","won",27,0.000324207492795389
"579","word",27,0.000324207492795389
"580","became",26,0.000312199807877041
"581","companies",26,0.000312199807877041
"582","daily",26,0.000312199807877041
"583","extra",26,0.000312199807877041
"584","field",26,0.000312199807877041
"585","green",26,0.000312199807877041
"586","guess",26,0.000312199807877041
"587","history",26,0.000312199807877041
"588","issue",26,0.000312199807877041
"589","living",26,0.000312199807877041
"590","loved",26,0.000312199807877041
"591","lovely",26,0.000312199807877041
"592","michael",26,0.000312199807877041
"593","oil",26,0.000312199807877041
"594","research",26,0.000312199807877041
"595","schools",26,0.000312199807877041
"596","spend",26,0.000312199807877041
"597","spot",26,0.000312199807877041
"598","stories",26,0.000312199807877041
"599","view",26,0.000312199807877041
"600","wear",26,0.000312199807877041
"601","whatever",26,0.000312199807877041
"602","whose",26,0.000312199807877041
"603","worked",26,0.000312199807877041
"604","anyway",25,0.000300192122958694
"605","available",25,0.000300192122958694
"606","base",25,0.000300192122958694
"607","birthday",25,0.000300192122958694
"608","build",25,0.000300192122958694
"609","changed",25,0.000300192122958694
"610","complete",25,0.000300192122958694
"611","completely",25,0.000300192122958694
"612","crazy",25,0.000300192122958694
"613","expect",25,0.000300192122958694
"614","fair",25,0.000300192122958694
"615","finish",25,0.000300192122958694
"616","foot",25,0.000300192122958694
"617","gets",25,0.000300192122958694
"618","haha",25,0.000300192122958694
"619","hold",25,0.000300192122958694
"620","international",25,0.000300192122958694
"621","jersey",25,0.000300192122958694
"622","low",25,0.000300192122958694
"623","offer",25,0.000300192122958694
"624","ohio",25,0.000300192122958694
"625","paid",25,0.000300192122958694
"626","paul",25,0.000300192122958694
"627","per",25,0.000300192122958694
"628","problems",25,0.000300192122958694
"629","quality",25,0.000300192122958694
"630","race",25,0.000300192122958694
"631","rock",25,0.000300192122958694
"632","sign",25,0.000300192122958694
"633","space",25,0.000300192122958694
"634","statement",25,0.000300192122958694
"635","strong",25,0.000300192122958694
"636","tea",25,0.000300192122958694
"637","title",25,0.000300192122958694
"638","trip",25,0.000300192122958694
"639","usually",25,0.000300192122958694
"640","version",25,0.000300192122958694
"641","wasnt",25,0.000300192122958694
"642","welcome",25,0.000300192122958694
